value_mean,value_std,time_mean,time_std,board_config_id
63310.0,5225.3213776762095,0.22153683819997233,0.0033042374168483868,0
64283.4,6260.225978349345,0.34960117559894566,0.08721291410553804,0
97875.2,5297.426894257248,0.6010294205996616,0.08091329848702947,1
99584.0,6174.859067217648,0.9154942929999379,0.07878993146802776,1
129755.4,2994.7285018846037,1.469864955599769,0.22467392146293758,2
133245.0,3031.70496585667,1.8690397686012148,0.17823130088521827,2
160788.2,3159.593043415557,2.2824125856001047,0.1983809839829012,3
164052.4,3551.1691455068703,3.454818460000388,0.45689678426673,3
202899.4,5498.0734171162185,3.948268021400145,0.5339883049630051,4
208972.8,6422.44806907771,5.623089755800902,0.33854331377783825,4
232234.6,3762.9021778409274,5.366201872999227,0.17460527350731353,5
237438.8,4227.471549283329,8.069719898600306,0.5571351835025546,5
265125.8,1906.5452263190646,7.691579697200359,0.5873941709955413,6
271613.4,2719.407527385325,11.307060001001082,0.2693566889044015,6
292734.4,3916.5550934462876,10.606843837599445,0.5108250392959914,7
298789.8,5649.298779494672,15.127618764000363,0.3183202793875304,7
327189.8,5644.771802296347,13.90746699740048,0.7023852921316506,8
333547.2,7019.201108388337,17.299963826600287,2.307913009067096,8
